name,domain,country,vertical,target_persona,strategic_pain
Empresas que necesitan BIN Sponsorship para emitir tarjetas sin licencia bancaria,,,Strategic Giant (Tier 1),Decision Maker,
"Bancos interesados en la seguridad digital, prevención de fraude y el control transaccional para clientes (ej. Límite por transacción, tips de seguridad).",,,Strategic Giant (Tier 1),Decision Maker,
Población sub-bancarizada o con acceso limitado a servicios financieros tradicionales.,,,Strategic Giant (Tier 1),Decision Maker,
Personas sin historial crediticio o con historial limitado ('Credit Invisibles').,,,Strategic Giant (Tier 1),Decision Maker,
Brazil Fintech Summit,,Brasil,Strategic Giant (Tier 1),Decision Maker,
Instituciones financieras buscando eficiencia en costos operativos y mitigación de riesgos regulatorios,,,Strategic Giant (Tier 1),Decision Maker,
Adquirentes y Proveedores de Servicios de Pago (PSP) que buscan expandir su red y ofrecer soluciones de valor añadido basadas en la infraestructura de Mastercard.,,,Strategic Giant (Tier 1),Decision Maker,
"Empresas que emiten tarjetas o requieren tecnología de procesamiento para pagos (débito, crédito, prepago)",,,Strategic Giant (Tier 1),Decision Maker,
Organizaciones enfocadas en cumplimiento regulatorio y mitigación de exposición,,,Strategic Giant (Tier 1),Decision Maker,
Shopee (Sea Limited),,Singapore,Strategic Giant (Tier 1),Decision Maker,
Startups y scale-ups fintechs que necesitan construir una base sólida de cumplimiento y verificación desde su inicio para mitigar riesgos y asegurar la longevidad.,,,Strategic Giant (Tier 1),Decision Maker,
Finnosummit,,México / Regional,Strategic Giant (Tier 1),Decision Maker,
"Otros organizadores de conferencias y eventos de Fintech en América Latina (ej. Money20/20 Latam, Finnosummit)",,,Strategic Giant (Tier 1),Decision Maker,
Entidades financieras tradicionales buscando modernización de infraestructura de pagos y mitigación avanzada de fraude,,,Strategic Giant (Tier 1),Decision Maker,
"Instituciones Financieras con infraestructuras legadas que buscan modernizar y digitalizar operaciones clave (ej. trámites, pagos)",,,Strategic Giant (Tier 1),Decision Maker,
"Grandes corporaciones con infraestructura de legado (legacy) que necesitan optimizar sus procesos de trámites digitales, experiencia de usuario y eficiencia operativa.",,,Strategic Giant (Tier 1),Decision Maker,
Fintechs de inclusión financiera con enfoque en segmentos no bancarizados o con historial crediticio limitado.,,,Strategic Giant (Tier 1),Decision Maker,
Grandes instituciones financieras enfocadas en la optimización de la experiencia digital del cliente y la autogestión de trámites,,,Strategic Giant (Tier 1),Decision Maker,
Adquirentes y Proveedores de Servicios de Pago (PSPs) que desean potenciar sus ofertas con tecnología de red avanzada de Mastercard.,,,Strategic Giant (Tier 1),Decision Maker,
"Empresas no financieras con una gran base de clientes (e.g., retailers, e-commerce, marketplaces, plataformas de servicios) que buscan emitir tarjetas de crédito bajo su propia marca.",,,Strategic Giant (Tier 1),Decision Maker,
